province,district,listing_count,median_price_per_m2,median_price_million_vnd
Ha Noi,Huyen Oan Kiem,229,522.167487684729,37000.0
Ha Noi,Cau Giay,2234,274.57884562275615,14550.0
Ho Chi Minh,Quan 5,286,271.2941176470588,19700.0
Ha Noi,Tay Ho,1133,266.6666666666667,15000.0
Ho Chi Minh,Quan 1,579,261.3636363636364,19950.0
Ha Noi,Dong Da,2497,254.71698113207546,11700.0
Ha Noi,Ba Dinh,1189,247.22222222222223,10600.0
Ha Noi,Thanh Xuan,2094,233.33333333333334,10900.0
Ha Noi,Huyen Ai Ba Trung,1500,219.41176470588235,9000.0
Ho Chi Minh,Quan 3,401,217.77777777777777,11200.0
Ha Noi,Long Bien,2564,205.26315789473685,10000.0
Ha Noi,Nam Tu Liem,938,199.42857142857142,9000.0
Ha Noi,Huyen A Dong,1763,196.07843137254903,8200.0
Ha Noi,Bac Tu Liem,940,196.07843137254903,8200.0
Ha Noi,Huyen Oang Mai,2108,194.28571428571428,7600.0
Ho Chi Minh,Quan 10,888,192.25774225774228,8900.0
Ho Chi Minh,Phu Nhuan,734,178.49025974025975,8550.0
Ha Noi,Thanh Tri,445,162.5,6900.0
Ho Chi Minh,Quan 11,194,149.24242424242425,9900.0
Ho Chi Minh,Tan Binh,1684,145.0,9300.0
Ha Noi,Huyen Oai Duc,519,145.0,5290.0
Ho Chi Minh,Binh Thanh,1210,144.38717067583048,7900.0
Ha Noi,Dan Phuong,95,133.33333333333334,5500.0
Ha Noi,Gia Lam,218,131.64285714285714,8980.0
Ho Chi Minh,Quan 2,520,126.39285714285714,11800.0
Ho Chi Minh,Quan 8,1879,124.13793103448276,8400.0
Ho Chi Minh,Quan 4,519,120.0,6700.0
Ho Chi Minh,Quan 7,1276,116.66666666666667,8000.0
Ho Chi Minh,Go Vap,2182,114.30952380952381,6450.0
Ho Chi Minh,Quan 6,219,113.4090909090909,6500.0
Ba Ria Vung Tau,Vung Tau,36,105.46820809248555,13500.0
Da Nang,Ngu Hanh Son,201,103.33333333333333,10200.0
Ho Chi Minh,Tan Phu,2499,102.6470588235294,6500.0
Ha Noi,Dong Anh,89,100.0,5900.0
Da Nang,Son Tra,300,99.70588235294117,9500.0
Da Nang,Huyen Ai Chau,292,92.68804887361588,6550.0
Ho Chi Minh,Binh Tan,1982,89.09646739130434,5700.0
Ho Chi Minh,Thu Duc,1417,83.33333333333333,6500.0
Lam Dong,Da Lat,117,81.31868131868131,6500.0
Ho Chi Minh,Quan 9,1012,79.62962962962963,6500.0
Ho Chi Minh,Nha Be,326,77.42924528301887,5575.0
Ho Chi Minh,Quan 12,2436,75.71168375607124,6000.0
Thai Binh,Thai Binh,259,74.07407407407408,5230.0
Hai Phong,Ngo Quyen,139,73.33333333333333,3690.0
Hai Phong,Le Chan,167,72.5,3250.0
Da Nang,Thanh Khe,174,67.50801282051282,4280.0
Ha Noi,Chuong My,32,66.84210526315789,2550.0
Hai Phong,Huyen Ai An,154,65.68627450980392,3275.0
Khanh Hoa,Nha Trang,868,65.0,4500.0
Da Nang,Cam Le,190,59.775,6090.0
Ho Chi Minh,Binh Chanh,334,54.576376004947434,7450.0
Da Nang,Lien Chieu,100,53.58333333333333,5050.0
Ha Noi,Me Linh,263,48.0,3600.0
Binh Duong,Di An,166,46.83333333333333,5100.0
Ho Chi Minh,Huyen Oc Mon,592,45.264945652173914,9500.0
Thua Thien Hue,Huyen Ue,75,41.666666666666664,3250.0
Binh Duong,Thuan An,111,40.90909090909091,3450.0
Thai Binh,Dong Hung,30,33.882428940568474,5000.0
Quang Ninh,Cam Pha,34,32.78688524590164,2000.0
Binh Duong,Thu Dau Mot,335,29.583333333333332,2600.0
Binh Duong,Ben Cat,113,29.444444444444443,2660.0
Hai Phong,Duong Kinh,31,26.097560975609756,2000.0
Dak Lak,Buon Ma Thuot,30,21.985,2715.0
Long An,Duc Hoa,46,21.53846153846154,3900.0
Dong Nai,Bien Hoa,342,21.5,2000.0
Ninh Thuan,Phan Rang Thap Cham,72,17.72853185595568,4960.0
Tay Ninh,Trang Bang,133,17.171717171717173,1700.0
Dong Nai,Vinh Cuu,250,16.6,1650.0
Khanh Hoa,Dien Khanh,32,14.297278911564625,2000.0
Long An,Can Giuoc,68,13.592233009708737,1400.0
Ho Chi Minh,Cu Chi,90,9.846461799462325,6000.0
Binh Thuan,La Gi,45,9.157509157509157,1900.0
