province,listing_count,median_price_million_vnd,median_price_per_m2
Tra Vinh,4,1300.0,650.0
Ha Noi,20931,9700.0,216.52173913043478
Quang Ngai,9,4000.0,111.11111111111111
Ho Chi Minh,23269,7180.0,107.6923076923077
Nam Dinh,5,5800.0,105.2
Hung Yen,28,13700.0,101.47058823529412
Nghe An,5,4690.0,87.66233766233766
Da Nang,1260,6900.0,80.12812340642529
Phu Yen,1,8000.0,74.07407407407408
Thai Binh,306,5215.0,69.06328320802005
Hai Phong,573,3450.0,68.75
Bac Giang,7,5200.0,67.53246753246754
Lam Dong,160,5000.0,64.58522899605703
Vinh Phuc,32,6900.0,64.13957663957663
Bac Ninh,40,5777.5,64.09567901234568
Khanh Hoa,923,4500.0,63.170731707317074
Hai Duong,13,3000.0,54.166666666666664
Ha Nam,20,5500.0,52.38095238095238
Phu Tho,6,5925.0,50.51851851851852
Binh Dinh,16,4500.0,46.0
Quang Nam,25,9000.0,44.354838709677416
Ba Ria Vung Tau,71,6900.0,43.47826086956522
Yen Bai,6,3625.0,40.5
Ben Tre,9,5500.0,40.0
Thua Thien Hue,90,3250.0,39.36507936507937
Ninh Binh,9,5500.0,37.03703703703704
An Giang,8,3150.0,34.609810479375696
Binh Duong,766,2800.0,33.25
Quang Ninh,53,2000.0,32.78688524590164
Thanh Hoa,19,3100.0,32.282051282051285
Can Tho,36,3275.0,29.35577942735949
Kien Giang,21,3050.0,25.324675324675326
Tuyen Quang,4,6550.0,23.102836879432623
Dak Lak,30,2715.0,21.985
Dong Nai,676,1900.0,19.186046511627907
Ninh Thuan,74,4610.0,17.72853185595568
Tay Ninh,154,1700.0,17.171717171717173
Long An,167,2280.0,14.362657091561939
Lai Chau,1,28000.0,12.921089063221043
Son La,17,2800.0,12.0
Tien Giang,8,1690.0,11.21448087431694
Dien Bien,1,1000.0,10.1010101010101
Binh Thuan,51,1900.0,10.052910052910052
Gia Lai,1,1120.0,9.333333333333334
Hoa Binh,4,3000.0,8.817567567567568
Hau Giang,3,1000.0,5.649717514124294
Thai Nguyen,9,2830.0,4.918032786885246
Vinh Long,8,424.0,4.202500000000001
Quang Binh,1,2200.0,3.9145907473309607
Binh Phuoc,7,1600.0,2.425
Quang Tri,1,400.0,2.0
Lao Cai,9,120.0,1.0
Ha Tinh,1,2500.0,0.25
Ca Mau,4,50.0,0.005
Soc Trang,3,50.0,0.005
